NO,Administrative district,Riverside Park,Location,Type,Remark,Latitude,Longitude,Lat_TWD97,Long_TWD97
S75,大同區,延平河濱公園,大稻埕延平宮下游水防道路旁,一般型,,25.053167,121.507139,2771762.37,301169
S76,大同區,延平河濱公園,天水宮自行車道旁,無障礙,,25.057947,121.508219,2772292.24,301275.9802
S77,文山區,左岸道南河濱公園,萬壽橋下,一般型,,24.991567,121.572319,2764965.439,307774.4506
S78,文山區,左岸道南河濱公園,萬壽橋下,無障礙,,24.991567,121.572319,2764965.439,307774.4506
E1,南港區,南湖左岸河濱公園,基1號疏散門旁,一般型,,25.05894444,121.6214444,2772450.42,312699.44
E2,南港區,南湖左岸河濱公園,基左南湖大橋牽引道末端,一般型,,25.06261111,121.6126389,2772852.52,311809.16
E3,南港區,南湖左岸河濱公園,南湖左岸編號17號越堤階梯旁,一般型,,25.05864167,121.6028028,2772408.37,310818.73
E4,南港區,南湖左岸河濱公園,基2號疏散門旁,無障礙,,25.05905556,121.5938611,2772450.23,309916.35
E5,南港區,成美左岸河濱公園外,松河街422號對面堤防旁,一般型,,25.05525,121.5890556,2772026.58,309433.34
E6,南港區,成美左岸河濱公園外,松河街與南港路3段106巷口(3號水門旁),一般型,,25.05380556,121.5864167,2771865.43,309167.77
E7,南港區,成美左岸河濱公園外,松河街360號對面堤防邊,一般型,,25.05238889,121.5811667,2771706.22,308638.72
E8,南港區,成美左岸河濱公園,基左長壽橋旁,無障礙,,25.05733333,121.5913611,2772258.36,309664.95
E9,南港區,成美左岸河濱公園,基左長壽橋旁,無障礙,,25.05733333,121.5913611,2772258.36,309664.95
E10,南港區,成美左岸河濱公園外,松河街282號對面堤防邊,一般型,,25.05208333,121.5796944,2771671.74,308490.31
E11,松山區,成美左岸河濱公園外,松河街156號對面堤防邊,一般型,,25.05122222,121.5759444,2771574.74,308112.34
E12,松山區,成美左岸河濱公園外,松河街76號對面堤防邊,一般型,,25.05086111,121.5741944,2771533.99,307935.93
E13,松山區,成美左岸河濱公園外,松河街46號對面堤防邊,一般型,,25.05077778,121.5736389,2771524.53,307879.92
E14,松山區,成美左岸河濱公園外,松河街28號對面堤防邊,一般型,,25.05075,121.5730833,2771521.21,307823.87
E15,松山區,成美左岸河濱公園外,松河街16號抽水站對面堤防邊,一般型,,25.051,121.5716111,2771548.27,307675.21
E16,松山區,成美左岸河濱公園,基左麥帥一橋旁,一般型,,25.0515,121.571,2771603.4,307613.31
E17,松山區,觀山河濱公園,基左麥帥二橋旁,一般型,,25.05477778,121.5701944,2771966.12,307530.5
E18,松山區,觀山河濱公園,基左麥帥二橋旁,無障礙,,25.05477778,121.5701944,2771966.12,307530.5
E19,松山區,觀山河濱公園,基5號門旁,一般型,,25.05891667,121.5695278,2772424.29,307461.31
E20,中山區,觀山河濱公園,基6號水門上游民權福德宮旁,一般型,,25.06430556,121.5684722,2773020.75,307352.3
E21,松山區,觀山河濱公園,基左高速公路上游320m停車場周邊,一般型,,25.06827778,121.5688056,2773460.88,307384.08
E22,中山區,迎風河濱公園,基左高速公路棒球場旁,一般型,,25.07263889,121.5703333,2773944.59,307536.17
E23,中山區,迎風河濱公園,基左高速公路棒球場旁,一般型,,25.07263889,121.5703333,2773944.59,307536.17
E24,中山區,迎風河濱公園,基左高速公路棒球場旁,一般型,,25.07263889,121.5703333,2773944.59,307536.17
E25,中山區,迎風河濱公園,板球場旁,一般型,,25.07308056,121.568025,2773992.53,307303.09
E26,中山區,迎風河濱公園,基左高速公路橋下游壘球場50m處,一般型,,25.07169444,121.5671389,2773838.62,307214.35
E27,中山區,迎風河濱公園,基左高速公路橋下游壘球場50m處,一般型,,25.07169444,121.5671389,2773838.62,307214.35
E28,中山區,迎風河濱公園,基左狗運動公園停車場周邊,一般型,,25.07169444,121.5654722,2773837.92,307046.2
E29,中山區,迎風河濱公園,基左狗運動公園停車場周邊,無障礙,,25.07169444,121.5654722,2773837.92,307046.2
E30,中山區,迎風河濱公園,基左狗運動公園停車場周邊,無障礙,,25.07169444,121.5654722,2773837.92,307046.2
E31,中山區,迎風河濱公園,基左7號疏散門上游500m停車場周邊,一般型,,25.07330556,121.5567222,2774012.71,306162.73
E32,中山區,迎風河濱公園,基左7號疏散門上游500m停車場周邊,一般型,,25.07330556,121.5567222,2774012.71,306162.73
E33,中山區,迎風河濱公園,基左7號疏散門上游130m停車場周邊,一般型,,25.07383333,121.5541667,2774070.11,305904.68
E34,中山區,迎風河濱公園,基左7號疏散門上游130m停車場周邊,無障礙,,25.07383333,121.5541667,2774070.11,305904.68
E35,中山區,迎風河濱公園,基左7號疏散門上游130m停車場周邊,一般型,,25.07383333,121.5541667,2774070.11,305904.68
E36,中山區,迎風河濱公園,輪狀車場上游側  7/1開工     4/21停工,一般型,,25.06005,121.572136,2772550.933,307723.9327
E37,中山區,迎風河濱公園,輪狀車場上游側   7/1開工    4/21停工,無障礙,,25.06005,121.572136,2772550.933,307723.9327
E38,中山區,迎風河濱公園,5號水門上游50mc堤壁旁  6/1開工   4/21停工,無障礙,,25.07375,121.55075,2774059.47,305560.03
E39,中山區,迎風河濱公園,基左7號疏散門下游280m停車場周邊,一般型,,25.07363889,121.5484167,2774046.21,305324.69
E40,中山區,迎風河濱公園,基左7號疏散門下游280m停車場周邊,無障礙,,25.07363889,121.5484167,2774046.21,305324.69
E41,中山區,迎風河濱公園,基左7號疏散門下游280m停車場周邊,無障礙,,25.07363889,121.5484167,2774046.21,305324.69
E42,中山區,迎風河濱公園,基左大直橋上游220m停車場周邊,一般型,,25.07375,121.5461389,2774057.59,305094.85
E43,中山區,迎風河濱公園,基左大直橋上游220m停車場周邊,一般型,,25.07375,121.5461389,2774057.59,305094.85
E44,中山區,迎風河濱公園,基左大直橋上游220m停車場周邊,一般型,,25.07375,121.5461389,2774057.59,305094.85
E45,中山區,大佳河濱公園,基左8號疏散門前方停車場周邊,一般型,,25.07388889,121.5401111,2774070.53,304486.69
E46,中山區,大佳河濱公園,基左8號疏散門前方停車場周邊,無障礙,,25.07388889,121.5400833,2774070.52,304483.89
E47,中山區,大佳河濱公園,基左8號疏散門前方停車場周邊,無障礙,,25.07388889,121.5400556,2774070.5,304481.09
E48,內湖區,南湖右岸河濱公園,基右南湖大橋旁,一般型,,25.06369444,121.6111944,2772971.85,311662.88
E49,內湖區,南湖右岸河濱公園,基右南湖右12號水門上游100公尺處,一般型,,25.06003889,121.5981,2772561.03,310343.56
E50,內湖區,南湖右岸河濱公園,基12號門下游20m處,一般型,,25.06102778,121.5940278,2772668.76,309932.21
E51,內湖區,成美右岸河濱公園,基右成功橋牽引道末端,一般型,,25.05947222,121.5909444,2772495.09,309621.87
E52,內湖區,成美右岸河濱公園,基13號門旁,一般型,,25.05727778,121.5878056,2772250.64,309306.24
E53,內湖區,成美右岸河濱公園外,潭美街196停車格旁,一般型,,25.05711111,121.5875278,2772232.06,309278.29
E54,內湖區,成美右岸河濱公園,基13號門下游100公尺處,無障礙,,25.05644444,121.58625,2772157.66,309149.68
E55,內湖區,成美右岸河濱公園,基右成美橋上游50公尺壘球場旁       ,一般型,,25.05477778,121.5824722,2771971.4,308769.31
E56,內湖區,成美右岸河濱公園外,潭美街100號106.107停車格旁,一般型,,25.05458333,121.582,2771949.66,308721.76
E57,內湖區,彩虹河濱公園,基右麥帥一橋下,一般型,,25.05344444,121.5742222,2771820.15,307937.52
E58,內湖區,彩虹河濱公園,基右麥帥一橋下,無障礙,,25.05344444,121.5742222,2771820.15,307937.52
E59,內湖區,彩虹河濱公園,基右麥帥一橋下,無障礙,,25.05344444,121.5742222,2771820.15,307937.52
E60,內湖區,彩虹河濱公園,基右麥帥一橋下游250M停車場處,一般型,,25.05511111,121.5735556,2772004.48,307869.48
E61,內湖區,彩虹河濱公園,基右麥帥二橋旁,一般型,,25.05719444,121.5732222,2772235.1,307834.86
E62,內湖區,彩虹河濱公園,基右麥帥二橋旁,一般型,,25.06188889,121.5726389,2772754.83,307773.81
E63,內湖區,彩虹河濱公園,基右民權大橋上游350M停車場周邊,一般型,,25.06188889,121.5726389,2772754.83,307773.81
E64,內湖區,彩虹河濱公園,基右民權大橋上游350M停車場周邊,無障礙,,25.06188889,121.5726389,2772754.83,307773.81
E65,內湖區,彩虹河濱公園,基右民權大橋上游350M停車場周邊,一般型,,25.06188889,121.5726389,2772754.83,307773.81
E66,內湖區,彩虹河濱公園,民權大橋上游河岸網球場旁,一般型,,25.06311111,121.5709167,2772889.48,307599.48
E67,內湖區,彩虹河濱公園,基右民權大橋旁上游停車場處,一般型,,25.06425,121.5723056,2773016.22,307739.08
E68,內湖區,彩虹河濱公園,基右民權大橋旁上游停車場處,一般型,,25.06425,121.5723056,2773016.22,307739.08
E69,內湖區,彩虹河濱公園,基右民權大橋旁下游堤防側,無障礙,,25.06522222,121.5722222,2773123.88,307730.21
E70,中山區,美堤河濱公園,基右高速公路橋下方旁,一般型,,25.07105556,121.5731111,2773770.4,307817.15
E71,中山區,美堤河濱公園,基右美堤壘球場周邊,一般型,,25.07591667,121.5648889,2774305.35,306985.4
E72,中山區,美堤河濱公園,基右美堤壘球場周邊,一般型,,25.07591667,121.5648889,2774305.35,306985.4
E73,中山區,美堤河濱公園,基右美堤壘球場周邊,一般型,,25.07591667,121.5648889,2774305.35,306985.4
E74,中山區,美堤河濱公園,基右美堤環山出水口路燈旁,一般型,,25.07583333,121.5636389,2774295.59,306859.34
E75,中山區,美堤河濱公園,環山抽水站前停車場旁,一般型,,25.07583333,121.5636389,2774295.59,306859.34
E76,中山區,美堤河濱公園,基右美堤河岸棒壘球場旁,無障礙,,25.07416667,121.5639722,2774111.12,306893.73
E77,中山區,美堤河濱公園,基右美堤環山出水口旁,一般型,,25.07416667,121.5639722,2774111.12,306893.73
E78,中山區,美堤河濱公園,基16號疏散門上游210M堤防側,一般型,,25.07627778,121.5603333,2774343.44,306525.66
E79,中山區,美堤河濱公園,基右美堤碼頭,無障礙,,25.07555556,121.5566667,2774261.91,306156.1
E80,中山區,美堤河濱公園,基右美堤網球場周邊,一般型,,25.07697222,121.554,2774417.73,305886.44
E81,中山區,美堤河濱公園,基右美堤網球場周邊,一般型,,25.07697222,121.554,2774417.73,305886.44
E82,中山區,美堤河濱公園,基右美堤網球場周邊,無障礙,,25.07697222,121.554,2774417.73,305886.44
E83,中山區,美堤河濱公園,基右美堤網球場周邊,一般型,,25.07697222,121.554,2774417.73,305886.44
E84,中山區,美堤河濱公園,基右美堤排球場前越堤階梯旁,無障礙,,25.07444444,121.5311667,2774128.49,303584.12
E85,中山區,美堤河濱公園,基右大直橋下下游5m處,一般型,,25.07741667,121.5441667,2774462.93,304894.26
E86,中山區,圓山河濱公園,基右新生高架橋下方旁,一般型,,25.07497222,121.5267778,2774185.22,303141.13
E87,中山區,圓山河濱公園,基右新生高架橋下方旁,無障礙,,25.07497222,121.5267778,2774185.22,303141.13
E88,內湖區,彩虹河濱公園,輪狀車場上游側  7/1開工 ,一般型,,25.06005,121.572136,2772550.933,307723.9327
E89,內湖區,彩虹河濱公園,輪狀車場上游側  7/1開工 ,一般型,,25.05901,121.572524,2772435.901,307763.5672
E90,內湖區,彩虹河濱公園,輪狀車場上游側  7/1開工 ,無障礙,,25.05901,121.572524,2772435.901,307763.5672
E91,內湖區,彩虹河濱公園,輪狀車場上游側  7/1開工 ,一般型,,25.05901,121.572524,2772435.901,307763.5672
1,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,25.05719074,121.5079608,2772208.37,301250.24
2,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,25.05716852,121.5079553,2772205.91,301249.7
3,大同區,延平河濱公園,大稻埕碼頭廣場,景觀,,25.05714609,121.5079536,2772203.43,301249.54
